0.45201238390092879,0.515625,0.640625,0.49375000000000002,0.49375000000000002
0.76470588235294112,0.75624999999999998,0.78749999999999998,0.72812500000000002,0.72812500000000002
0.70588235294117652,0.765625,0.765625,0.74375000000000002,0.74687499999999996
