alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.09,0.324,2.99,4.42,2.78,-0.0665,Agressive,Happy
3.05,0.328,2.97,4.22,2.68,-0.0731,Agressive,Happy
2.94,0.341,3.11,4,2.61,-0.078,Agressive,Happy
2.83,0.354,3.14,3.86,2.64,-0.0734,Agressive,Happy
2.81,0.356,3.26,4.05,2.62,-0.0801,Agressive,Happy
2.98,0.336,3.45,4.49,2.59,-0.0687,Agressive,Happy
2.97,0.336,3.36,4.75,2.56,-0.0606,Agressive,Happy
2.98,0.336,3.43,4.8,2.57,-0.0483,Agressive,Happy
3.18,0.314,3.55,4.84,2.7,-0.0146,Agressive,Happy
3.38,0.296,3.58,5,2.59,-0.0022,Agressive,Happy
3.39,0.295,3.59,5.22,2.5,0.0148,Agressive,Happy
3.33,0.3,3.62,5.31,2.44,0.0186,Agressive,Happy
3.4,0.294,3.56,5.31,2.51,0.0105,Agressive,Happy
3.48,0.288,3.5,5.32,2.62,0.00429,Agressive,Happy
3.53,0.283,3.48,5.32,2.64,0.00066,Agressive,Happy
3.52,0.284,3.35,5.27,2.63,0.0056,Agressive,Happy
3.49,0.286,3.29,5.09,2.7,0.00921,Agressive,Happy
3.48,0.288,3.5,4.92,2.88,0.0182,Agressive,Happy
3.36,0.297,3.37,4.85,2.85,0.0251,Agressive,Happy
3.16,0.317,3.27,4.77,2.75,0.0165,Agressive,Happy
3.02,0.331,3.22,4.52,2.73,0.00342,Agressive,Happy
2.91,0.344,3.26,4.24,2.7,-0.0104,Agressive,Happy
2.83,0.353,3.26,4.19,2.71,-0.00972,Agressive,Happy
2.66,0.376,3.27,4.19,2.66,0.0179,Agressive,Happy
2.43,0.412,3.31,4.25,2.7,0.0468,Agressive,Happy
2.3,0.436,3.26,4.43,2.59,0.0675,Agressive,Happy
2.17,0.462,3.28,4.56,2.58,0.089,Agressive,Happy
2.03,0.493,3.19,4.64,2.47,0.103,Agressive,Happy
2.14,0.467,3.15,4.65,2.27,0.0735,Agressive,Happy
2.3,0.435,3.3,4.63,2.47,0.0202,Agressive,Happy
2.35,0.425,3.36,4.54,2.46,0.00754,Agressive,Happy
2.35,0.425,3.46,4.42,2.42,0.000936,Agressive,Happy
2.58,0.388,3.52,4.34,2.39,-0.00897,Agressive,Happy
2.79,0.359,3.5,4.31,2.35,0.000229,Agressive,Happy
2.92,0.342,3.53,4.32,2.21,0.0104,Agressive,Happy
3.04,0.329,3.49,4.21,2.34,0.00577,Agressive,Happy
3.16,0.317,3.52,3.93,2.54,-0.00714,Agressive,Happy
3.34,0.299,3.49,3.58,2.65,-0.0145,Agressive,Happy
3.52,0.284,3.52,3.25,2.74,-0.0202,Agressive,Happy
3.65,0.274,3.54,3.13,2.78,-0.0172,Agressive,Happy
3.75,0.266,3.42,3.14,2.56,-0.0128,Agressive,Happy
3.78,0.265,3.41,3.07,2.6,-0.0177,Agressive,Happy
3.8,0.263,3.36,3.13,2.6,-0.0202,Agressive,Happy
3.79,0.264,3.29,3.41,2.73,-0.0232,Agressive,Happy
3.74,0.267,3.3,3.44,2.82,-0.031,Agressive,Happy
3.84,0.261,3.3,3.44,2.82,-0.0277,Agressive,Happy
3.95,0.253,3.4,3.45,2.7,-0.0177,Agressive,Happy
3.96,0.253,3.36,3.52,2.65,-0.0104,Agressive,Happy
3.88,0.258,3.37,3.51,2.64,-0.00892,Agressive,Happy
3.79,0.264,3.32,3.68,2.6,-0.00961,Agressive,Happy
3.75,0.267,3.35,4.16,2.62,-0.00373,Agressive,Happy
3.81,0.262,3.39,4.38,2.64,0.00168,Agressive,Happy
3.9,0.256,3.29,4.36,2.56,0.000584,Agressive,Happy
3.86,0.259,3.17,4.26,2.55,0.00402,Agressive,Happy
3.84,0.261,3.23,4.15,2.31,0.00732,Agressive,Happy
3.78,0.265,3.17,4.16,2.23,0.00917,Agressive,Happy
3.61,0.277,3.24,4.21,2.2,0.00797,Agressive,Happy
3.44,0.29,3.17,4.2,2.13,0.00318,Agressive,Happy
3.26,0.307,3.09,4.14,2.06,-0.00499,Agressive,Happy
3.22,0.31,3.07,4.28,1.88,-0.00504,Agressive,Happy
3.25,0.308,3.05,4.24,1.84,-0.00449,Agressive,Happy
3.11,0.322,3.12,3.85,1.83,-0.0174,Agressive,Happy
2.73,0.367,3.09,3.51,1.8,-0.0322,Agressive,Happy
3.02,0.332,3.08,3.52,1.8,-0.000463,Agressive,Happy
3.31,0.302,3.07,3.56,1.76,0.0109,Agressive,Happy
3.35,0.298,3.12,3.58,1.79,0.0136,Agressive,Happy
3.35,0.299,3.08,3.67,1.84,0.0151,Agressive,Happy
3.42,0.292,3.03,3.69,1.86,0.0145,Agressive,Happy
3.49,0.287,3.24,3.7,1.94,0.0106,Agressive,Happy
3.5,0.286,3.36,3.64,1.89,0.0104,Agressive,Happy
3.49,0.286,3.31,3.41,1.81,0.0165,Agressive,Happy
3.43,0.291,3.33,3.33,1.94,0.0204,Agressive,Happy
3.43,0.292,3.26,3.38,1.92,0.0154,Agressive,Happy
3.36,0.298,3.31,3.55,1.92,0.015,Agressive,Happy
3.09,0.323,3.49,3.84,1.94,0.0142,Agressive,Happy
2.99,0.335,3.84,4.19,1.96,0.00481,Agressive,Happy
3.3,0.303,3.86,4.26,1.92,-0.00364,Agressive,Happy
3.65,0.274,3.84,4.28,1.81,-0.0128,Agressive,Happy
3.78,0.265,3.79,4.5,1.82,-0.0221,Agressive,Happy
3.83,0.261,3.75,4.63,1.87,-0.0227,Agressive,Happy
3.85,0.26,3.84,4.74,1.84,-0.0226,Agressive,Happy
3.85,0.259,3.89,4.82,1.7,-0.0263,Agressive,Happy
3.85,0.259,3.89,4.82,1.62,-0.0269,Agressive,Happy
3.82,0.262,3.9,4.8,1.62,-0.023,Agressive,Happy
3.77,0.265,4.13,4.75,1.78,-0.0211,Agressive,Happy
3.92,0.255,4.23,4.74,1.74,-0.0122,Agressive,Happy
4.18,0.239,4.18,5.07,1.72,0.00047,Agressive,Happy
4.2,0.238,4.18,5.42,1.73,0.00917,Agressive,Happy
4,0.25,4.19,5.51,1.82,0.0248,Agressive,Happy
