alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
2.94,0.34,3.51,4.31,1.32,0.0246,Agressive,Happy
3.21,0.311,3.56,4.23,1.3,0.0263,Agressive,Happy
3.29,0.304,3.57,4.18,1.39,0.0306,Agressive,Happy
3.27,0.305,3.64,4.16,1.41,0.0373,Agressive,Happy
3.25,0.307,3.67,3.88,1.43,0.0422,Agressive,Happy
3.22,0.311,3.65,3.65,1.46,0.0427,Agressive,Happy
3.13,0.319,3.64,3.67,1.55,0.0514,Agressive,Happy
3.13,0.32,3.64,3.55,1.64,0.0527,Agressive,Happy
3.07,0.326,3.44,3.4,1.66,0.0506,Agressive,Happy
3,0.334,3.3,3.32,1.67,0.0487,Agressive,Happy
2.97,0.337,2.99,3.43,1.68,0.0767,Agressive,Happy
2.89,0.346,2.71,3.58,1.45,0.122,Agressive,Happy
2.74,0.365,2.64,3.67,1.47,0.129,Agressive,Happy
2.65,0.377,2.62,3.78,1.38,0.115,Agressive,Happy
2.77,0.361,2.55,3.79,1.36,0.0911,Agressive,Happy
3.01,0.332,2.63,3.92,1.35,0.063,Agressive,Happy
3.41,0.293,2.94,3.98,1.33,0.0339,Agressive,Happy
3.79,0.264,3.05,4.2,1.19,0.0215,Agressive,Happy
3.96,0.253,3.13,4.59,1.22,0.0175,Agressive,Happy
4.03,0.248,3.21,4.8,1.19,0.0154,Agressive,Happy
4.04,0.247,3.17,4.82,1.17,0.0119,Agressive,Happy
4.02,0.249,3.21,4.79,1.3,0.0014,Agressive,Happy
4.06,0.246,3.53,4.81,1.46,-0.00699,Agressive,Happy
4.21,0.238,3.57,4.84,1.54,-0.0117,Agressive,Happy
4.31,0.232,3.59,4.86,1.65,-0.0151,Agressive,Happy
4.3,0.233,3.57,4.85,1.63,-0.017,Agressive,Happy
4.16,0.24,3.47,4.79,1.66,-0.0193,Agressive,Happy
3.98,0.251,3.38,4.73,1.61,-0.0236,Agressive,Happy
3.7,0.27,3.36,4.53,1.59,-0.0342,Agressive,Happy
3.54,0.282,3.29,4.13,1.79,-0.0357,Agressive,Happy
3.53,0.284,3.28,3.72,1.9,-0.0361,Agressive,Happy
3.52,0.284,3.29,3.58,1.91,-0.0419,Agressive,Happy
3.48,0.287,3.11,3.43,1.85,-0.0429,Agressive,Happy
3.26,0.306,2.85,3.43,1.92,-0.0457,Agressive,Happy
2.79,0.358,2.91,3.56,1.92,-0.0456,Agressive,Happy
2.34,0.427,2.85,3.65,1.94,-0.0258,Agressive,Happy
2.27,0.44,2.92,3.66,1.96,-0.0108,Agressive,Happy
2.41,0.415,2.92,3.83,2.08,-0.0117,Agressive,Happy
2.52,0.397,2.92,4.16,2.1,-0.0168,Agressive,Happy
2.5,0.4,3.07,4.38,2.09,-0.0404,Agressive,Happy
2.47,0.405,3.11,4.53,1.99,-0.0283,Agressive,Happy
2.64,0.379,3.15,4.64,1.91,0.0393,Agressive,Happy
2.74,0.365,3.13,4.65,2.03,0.0771,Agressive,Happy
2.72,0.368,3.11,4.63,1.97,0.0762,Agressive,Happy
2.73,0.366,2.9,4.56,1.88,0.0539,Agressive,Happy
2.72,0.368,2.81,4.45,1.81,0.0446,Agressive,Happy
2.7,0.37,2.76,4.44,1.78,0.0446,Agressive,Happy
2.67,0.375,2.67,4.58,1.71,0.0426,Agressive,Happy
2.66,0.376,2.71,4.61,1.55,0.038,Agressive,Happy
2.65,0.378,2.73,4.45,1.53,0.0367,Agressive,Happy
2.62,0.382,2.5,4.23,1.49,0.0279,Agressive,Happy
2.53,0.396,2.45,4,1.46,0.002,Agressive,Happy
2.28,0.438,2.4,3.85,1.47,-0.0675,Agressive,Happy
2.05,0.488,2.51,3.79,1.41,-0.155,Agressive,Happy
2.05,0.488,2.74,3.8,1.47,-0.133,Agressive,Happy
2.23,0.448,2.8,3.9,1.46,-0.0715,Agressive,Happy
2.43,0.411,2.95,3.95,1.41,-0.024,Agressive,Happy
2.65,0.378,2.98,3.88,1.44,-0.00767,Agressive,Happy
2.8,0.357,3,3.61,1.43,0.00904,Agressive,Happy
2.79,0.358,3.02,3.44,1.38,0.0152,Agressive,Happy
2.74,0.365,2.91,3.49,1.37,0.0231,Agressive,Happy
2.72,0.367,2.88,3.55,1.35,0.0318,Agressive,Happy
2.73,0.367,2.92,3.56,1.49,0.0274,Agressive,Happy
2.73,0.367,2.98,3.55,1.44,0.0195,Agressive,Happy
2.7,0.37,2.89,3.55,1.34,0.0229,Agressive,Happy
2.72,0.367,2.92,3.46,1.42,0.0259,Agressive,Happy
2.88,0.347,2.9,3.27,1.42,0.00226,Agressive,Happy
2.9,0.344,2.78,3.3,1.41,-0.0122,Agressive,Happy
